code,name,description,refreshed_at,from_date,to_date
BIGMAC_ITA,Big Mac Index - Italy,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_JOR,Big Mac Index - Jordan,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_JPN,Big Mac Index - Japan,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_KOR,Big Mac Index - South Korea,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_KWT,Big Mac Index - Kuwait,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_LBN,Big Mac Index - Lebanon,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_LKA,Big Mac Index - Sri Lanka,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_LTU,Big Mac Index - Lithuania,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:19,2000-04-30,2018-01-31
BIGMAC_LVA,Big Mac Index - Latvia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:19,2000-04-30,2018-01-31
BIGMAC_MDA,Big Mac Index - Moldova,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_MEX,Big Mac Index - Mexico,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_MYS,Big Mac Index - Malaysia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_NIC,Big Mac Index - Nicaragua,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_NLD,Big Mac Index - Netherlands,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_NOR,Big Mac Index - Norway,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_NZL,Big Mac Index - New Zealand,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_OMN,Big Mac Index - Oman,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_PAK,Big Mac Index - Pakistan,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_PER,Big Mac Index - Peru,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_PHL,Big Mac Index - Philippines,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_POL,Big Mac Index - Poland,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_PRT,Big Mac Index - Portugal,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2011-07-31,2018-01-31
BIGMAC_QAT,Big Mac Index - Qatar,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_ROC,Big Mac Index - Taiwan,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_ROU,Big Mac Index - Romania,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2018-07-31,2022-01-31
BIGMAC_RUS,Big Mac Index - Russia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_SAU,Big Mac Index - Saudi Arabia,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_SIN,Big Mac Index - Singapore,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_SWE,Big Mac Index - Sweden,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_THA,Big Mac Index - Thailand,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_TUR,Big Mac Index - Turkey,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_UAE,Big Mac Index - UAE,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued. ",2018-05-23 14:13:25,2000-04-30,2018-01-31
BIGMAC_UKR,Big Mac Index - Ukraine,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_URY,Big Mac Index - Uruguay,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_USA,Big Mac Index - United States,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_VEN,Big Mac Index - Venezuela,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
BIGMAC_VNM,Big Mac Index - Vietnam,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2014-07-31,2022-01-31
BIGMAC_ZAF,Big Mac Index - South Africa,"The Big Mac Index is an informal measure of currency exchange rates at ppp. It measures their value against a similar basket of goods and services, in this case a Big Mac. Differing prices at market exchange rates would imply that one currency is under or overvalued.",2022-05-15 00:00:19,2000-04-30,2022-01-31
